iter	Passed	Remaining
0	0	492
1	0	426
2	1	440
3	1	436
4	2	435
5	2	424
6	2	410
7	3	410
8	3	408
9	4	407
10	4	406
11	4	403
12	5	406
13	5	406
14	6	405
15	6	404
16	7	415
17	7	412
18	8	414
19	8	416
20	9	421
21	9	418
22	9	418
23	10	414
24	10	415
25	11	417
26	11	419
27	12	416
28	12	420
29	13	431
30	13	432
31	14	432
32	14	432
33	15	430
34	15	428
35	15	428
36	16	428
37	16	428
38	17	425
39	17	425
40	18	425
41	18	429
42	19	428
43	19	426
44	19	423
45	20	421
46	20	417
47	21	418
48	21	416
49	21	415
50	22	413
51	22	412
52	22	410
53	23	409
54	23	408
55	24	406
56	24	405
57	24	404
58	25	402
59	25	402
60	26	401
61	26	400
62	26	399
63	27	399
64	27	398
65	28	396
66	28	395
67	28	394
68	29	394
69	29	394
70	30	393
71	30	392
72	30	391
73	31	391
74	31	391
75	32	391
76	32	390
77	32	389
78	33	387
79	33	387
80	34	387
81	34	386
82	34	385
83	35	384
84	35	385
85	36	384
86	36	383
87	36	382
88	37	382
89	37	381
90	38	380
91	38	379
92	38	378
93	39	377
94	39	376
95	39	376
96	40	376
97	40	375
98	41	374
99	41	373
100	41	372
101	42	372
102	42	372
103	43	371
104	43	370
105	43	369
106	44	368
107	44	367
108	44	367
109	45	366
110	45	366
111	46	365
112	46	365
113	46	364
114	47	364
115	47	363
116	48	362
117	48	362
118	48	361
119	49	360
120	49	359
121	49	359
122	50	358
123	50	358
124	51	357
125	51	356
126	51	355
127	52	355
128	52	354
129	52	354
130	53	353
131	53	353
132	54	352
133	54	352
134	54	351
135	55	351
136	55	350
137	56	349
138	56	349
139	56	348
140	57	348
141	57	347
142	57	347
143	58	346
144	58	346
145	59	345
146	59	345
147	59	344
148	60	343
149	60	343
150	60	342
151	61	342
152	61	341
153	62	340
154	62	339
155	62	339
156	63	339
157	63	338
158	63	338
159	64	337
160	64	337
161	65	336
162	65	336
163	65	335
164	66	334
165	66	334
166	66	333
167	67	333
168	67	332
169	68	332
170	68	331
171	68	330
172	69	330
173	69	330
174	69	329
175	70	329
176	70	328
177	71	328
178	71	327
179	71	327
180	72	326
181	72	326
182	72	325
183	73	325
184	73	325
185	74	324
186	74	323
187	74	323
188	75	322
189	75	322
190	76	322
191	76	321
192	76	321
193	77	320
194	77	319
195	77	319
196	78	318
197	78	318
198	79	318
199	79	317
200	79	317
201	80	316
202	80	316
203	80	315
204	81	315
205	81	314
206	82	314
207	82	314
208	82	313
209	83	313
210	83	312
211	84	312
212	84	312
213	84	311
214	85	311
215	85	310
216	86	310
217	86	309
218	86	309
219	87	308
220	87	308
221	87	308
222	88	307
223	88	307
224	88	306
225	89	305
226	89	305
227	90	305
228	90	304
229	90	304
230	91	304
231	91	303
232	92	303
233	92	302
234	92	302
235	93	302
236	93	301
237	94	301
238	94	300
239	94	300
240	95	299
241	95	298
