iter	Passed	Remaining
0	0	594
1	1	530
2	1	522
3	1	482
4	2	471
5	2	456
6	3	439
7	3	432
8	3	428
9	4	423
10	4	418
11	5	414
12	5	417
13	5	404
14	6	421
15	6	416
16	7	418
17	7	418
18	8	418
19	8	418
20	8	416
21	9	414
22	9	413
23	10	412
24	10	414
25	11	413
26	11	413
27	11	411
28	12	409
29	12	410
30	13	410
31	13	410
32	13	409
33	14	408
34	14	410
35	15	413
36	15	413
37	16	411
38	16	411
39	17	411
40	17	410
41	17	407
42	18	405
43	18	404
44	19	403
45	19	402
46	19	402
47	20	402
48	20	401
49	21	401
50	21	402
51	22	402
52	22	402
53	22	401
54	23	401
55	23	401
56	24	401
57	24	400
58	25	399
59	25	399
60	25	399
61	26	398
62	26	399
63	28	410
64	28	409
65	28	408
66	29	408
67	29	406
68	30	405
69	30	405
70	31	406
71	31	412
72	32	410
73	32	409
74	33	408
75	33	407
76	33	406
77	34	405
78	34	404
79	35	403
80	35	403
81	35	402
82	36	401
83	36	400
84	37	400
85	37	399
86	38	398
87	38	398
88	38	398
89	39	397
90	39	396
91	40	396
92	40	395
93	40	394
94	41	394
95	41	393
96	42	394
97	42	393
98	43	392
99	43	392
100	44	392
101	44	392
102	44	391
103	45	391
104	45	391
105	46	390
106	46	389
107	47	389
108	47	388
109	48	388
110	48	388
111	48	387
112	49	387
113	49	387
114	50	386
115	50	385
116	51	385
117	51	384
118	51	384
119	52	383
120	52	383
121	53	383
122	53	382
123	54	381
124	54	381
125	54	380
126	55	380
127	55	380
128	56	380
129	56	379
130	57	379
131	57	378
132	58	378
133	58	378
134	58	377
135	59	377
136	59	376
137	60	375
138	60	375
139	61	374
140	61	374
141	61	373
142	62	372
143	62	372
144	63	371
145	63	371
146	63	371
147	64	370
148	64	369
149	65	369
150	65	368
151	65	367
152	66	367
153	66	366
154	67	366
155	67	365
156	67	364
157	68	364
158	68	363
159	69	363
160	69	363
161	70	362
162	70	363
163	71	363
164	71	363
165	72	362
166	72	362
167	73	362
168	73	362
169	73	361
170	74	361
171	74	360
172	75	360
173	75	360
174	76	360
175	76	360
176	77	359
177	77	359
178	78	358
179	78	358
180	79	358
181	79	358
182	80	358
183	80	358
184	81	359
185	82	358
186	82	358
187	82	358
188	83	358
189	83	358
190	84	357
191	84	357
192	85	357
193	86	357
194	86	357
195	86	356
196	87	356
197	87	356
198	88	355
199	88	355
200	89	354
201	89	354
202	90	353
203	90	353
204	90	352
205	91	352
206	91	352
207	92	351
208	92	351
209	93	351
210	93	351
211	94	351
212	94	350
213	95	350
214	96	350
215	96	350
216	97	350
217	97	349
218	97	348
219	98	349
220	98	348
221	99	348
222	99	347
223	100	348
224	101	347
225	101	347
226	102	347
227	102	347
228	103	347
229	103	346
230	104	346
231	104	346
232	105	345
233	105	345
234	106	345
235	106	345
236	107	345
237	107	344
238	107	343
239	108	343
240	108	342
241	109	342
242	109	341
243	110	341
244	110	341
245	111	340
246	111	340
247	112	340
248	112	339
249	113	339
250	113	339
251	114	338
252	114	338
253	115	338
254	115	338
255	116	337
256	116	337
257	117	337
258	117	336
259	118	336
260	118	336
261	119	336
262	119	335
263	120	335
264	120	334
265	121	334
266	121	334
267	122	333
268	122	333
269	123	333
270	123	333
271	124	332
272	124	332
273	125	331
274	125	331
275	126	331
276	126	330
277	127	330
278	127	329
279	128	329
280	128	329
281	129	329
282	129	328
283	130	328
284	130	328
285	131	328
286	131	327
287	132	327
288	132	326
289	133	326
290	133	325
291	134	325
292	134	324
293	135	324
294	135	324
295	136	323
296	136	323
297	136	322
298	137	323
299	138	322
300	138	322
301	139	322
302	139	321
303	140	321
304	140	320
305	141	320
306	142	320
307	142	320
308	143	319
309	143	319
310	143	318
311	144	318
312	145	318
313	145	318
314	146	317
315	146	317
316	147	316
317	147	316
318	148	316
319	148	316
320	149	316
321	149	315
322	150	315
323	151	315
324	151	314
325	151	314
326	152	313
327	152	313
328	153	312
329	153	312
330	154	312
331	154	311
332	155	311
333	155	310
334	156	310
335	156	310
336	157	309
337	157	309
338	158	308
339	158	308
340	159	307
341	159	307
342	160	306
343	160	306
344	160	305
345	161	305
346	161	304
347	162	304
348	163	305
349	164	304
350	165	305
351	165	304
352	166	304
353	166	304
354	167	303
355	167	303
356	168	302
357	168	302
358	168	301
359	169	301
360	169	300
361	170	300
362	170	299
363	171	299
364	171	298
365	172	298
366	172	297
367	173	297
368	173	296
369	174	296
370	174	296
371	175	295
372	175	295
373	176	295
374	176	294
375	177	293
376	177	293
377	177	292
378	178	292
379	178	291
380	179	290
381	179	290
382	179	289
383	180	289
384	180	288
385	181	288
386	181	287
387	181	287
388	182	286
389	182	285
390	183	285
391	183	284
392	183	284
393	184	283
394	184	283
395	185	282
396	185	281
397	185	281
398	186	280
399	186	280
400	187	279
401	187	279
402	187	278
403	188	277
404	188	277
405	189	276
406	189	276
407	189	275
408	190	275
409	190	274
410	191	273
411	191	273
412	192	272
413	192	272
414	192	271
415	193	271
416	193	270
417	194	270
418	194	269
419	194	269
420	195	268
421	195	267
422	196	267
423	196	266
424	196	266
425	197	265
426	197	265
427	198	264
428	198	264
429	198	263
430	199	263
431	199	262
432	200	262
433	200	261
434	200	261
435	201	260
436	201	260
437	202	259
438	202	258
439	203	258
440	203	257
441	203	257
442	204	256
443	204	256
444	205	255
445	205	255
446	205	254
447	206	254
448	206	253
449	207	253
450	207	252
451	207	252
452	208	251
453	208	250
454	209	250
455	209	249
456	209	249
457	210	248
458	210	248
459	210	247
460	211	247
461	211	246
462	212	246
463	212	245
464	212	244
465	213	244
466	213	243
467	214	243
468	214	242
469	214	242
470	215	241
471	215	241
472	216	240
473	216	240
474	216	239
475	217	239
476	217	238
477	218	238
478	218	237
479	219	237
480	219	236
481	219	236
482	220	235
483	220	235
484	221	234
485	221	234
486	221	233
